
ID	Email	Lat	Lng	Data GPS	Viteză	Direcție	Altitudine	Baterie	Nr. Înmatriculare	UIT	IP	Status	HDOP	GSM	Trimis ANAF
18523	+40722222222	44.2583348	28.6175896	2025-06-26 16:16:38	0.421053	157.195	53.5	85%	B301LEG	eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6I	82.79.87.116	2	19	5	NU
18522	+40722222222	44.2583662	28.6175708	2025-06-26 16:16:30	0.811783	323.482	53.5	85%	B301LEG	eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6I	82.79.87.116	2	18	5	NU
18521	+40722222222	44.2583662	28.6175708	2025-06-26 16:16:30	0.811783	323.482	53.5	85%	B301LEG	eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6I	82.79.87.116	2	18	5	NU
18520	+40722222222	44.2583135	28.6176256	2025-06-26 16:16:21	0.550502	127.762	51.8	85%	B301LEG	eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6I	82.79.87.116	2	19	5	NU
18519	+40722222222	44.2583135	28.6176256	2025-06-26 16:16:21	0.550502	127.762	51.8	85%	B301LEG	eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6I	82.79.87.116	2	19	5	NU
18518	+40722222222	44.2583412	28.6175759	2025-06-26 16:16:12	0.0756347	0	51.8	85%	B301LEG	eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6I	82.79.87.116	2	17	5	NU
18517	+40722222222	44.2583364	28.6175711	2025-06-26 16:16:04	0.318712	316.644	51.8	85%	B301LEG	eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6I	82.79.87.116	2	17	5	NU
18516	+40722222222	44.2583168	28.6175969	2025-06-26 16:15:54	0.14807	140.727	51.8	85%	B301LEG	eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6I	82.79.87.116	2	18	5	NU
18515	+40722222222	44.2583168	28.6175969	2025-06-26 16:15:54	0.14807	140.727	51.8	85%	B301LEG	eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6I	82.79.87.116	2	18	5	NU
18514	+40722222222	44.2583256	28.6175825	2025-06-26 16:15:45	0.165324	194.699	51.8	85%	B301LEG	eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6I	82.79.87.116	2	17	5	NU
18513	+40722222222	44.2583256	28.6175825	2025-06-26 16:15:45	0.165324	194.699	51.8	85%	B301LEG	eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6I	82.79.87.116	2	17	5	NU
18512	+40722222222	44.258342	28.6175885	2025-06-26 16:15:36	0	0	52	4%	B301LEG	eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6I	82.79.87.116	2	1	4	NU
